"game_id","type","date","home_team","home_conference","home_pts","home_sq_pts","away_team","away_conference","away_pts","away_sq_pts","line","projected_home_score","projected_away_score","value","value_side","play","result","value_type","closing_line","closing_line_value"
19573043808161,"total","2023-08-04","Indiana Fever",NA,72,80.87681299,"Connecticut Sun",NA,88,82.20459473,160.5,78,76.8,5.7,"Under",1,1,"Under",160.5,0
19573098520251,"spread","2023-08-04","Washington Mystics",NA,79,78.46609312,"Los Angeles Sparks",NA,77,81.20802552,-3.5,81.5,79.8,1.8,"Los Angeles Sparks",0,0,"Dog",-3.5,NA
19573098520251,"total","2023-08-04","Washington Mystics",NA,79,78.46609312,"Los Angeles Sparks",NA,77,81.20802552,157.5,81.5,79.8,3.8,"Over",1,-1.1,"Over",157.5,0
19573113312511,"spread","2023-08-04","Minnesota Lynx",NA,66,76.5518055,"New York Liberty",NA,76,86.66792655,11,82.4,92.1,1.3,"Minnesota Lynx",0,0,"Dog",9,NA
19573113312511,"total","2023-08-04","Minnesota Lynx",NA,66,76.5518055,"New York Liberty",NA,76,86.66792655,167.5,82.4,92.1,7,"Over",1,-1.1,"Over",169.5,2
19574143916321,"spread","2023-08-05","Phoenix Mercury",NA,91,89.20976985,"Seattle Storm",NA,97,93.64341229,-3.5,82.2,80,1.3,"Seattle Storm",0,0,"Dog",-4.5,NA
19574143916321,"total","2023-08-05","Phoenix Mercury",NA,91,89.20976985,"Seattle Storm",NA,97,93.64341229,160.5,82.2,80,1.7,"Over",0,0,"Over",159,NA
19575009108161,"spread","2023-08-06","Atlanta Dream",NA,82,78.9684611,"Indiana Fever",NA,73,83.58148336,-7.5,81.5,78.7,4.7,"Indiana Fever",1,-1.1,"Dog",-8,0.5
19575009108161,"total","2023-08-06","Atlanta Dream",NA,82,78.9684611,"Indiana Fever",NA,73,83.58148336,167.5,81.5,78.7,7.3,"Under",1,1,"Under",167,0.5
19575034604701,"spread","2023-08-06","Dallas Wings",NA,96,97.26894772,"Chicago Sky",NA,104,95.7999543,-8.5,84.4,74.9,1,"Dallas Wings",0,0,"Fav",-8.5,NA
19575034604701,"total","2023-08-06","Dallas Wings",NA,96,97.26894772,"Chicago Sky",NA,104,95.7999543,165.5,84.4,74.9,6.2,"Under",1,-1.1,"Under",166.5,-1
19575092412511,"spread","2023-08-06","New York Liberty",NA,99,87.1218307,"Las Vegas Aces",NA,61,85.10801435,4.5,90.6,94.5,0.6,"New York Liberty",0,0,"Dog",5,NA
19575092412511,"total","2023-08-06","New York Liberty",NA,99,87.1218307,"Las Vegas Aces",NA,61,85.10801435,176.5,90.6,94.5,8.6,"Over",1,-1.1,"Over",176.5,0
19575098520251,"spread","2023-08-06","Washington Mystics",NA,83,82.23420858,"Los Angeles Sparks",NA,91,82.08666962,-3.5,78.6,80.2,5.1,"Los Angeles Sparks",1,1,"Dog",-3,-0.5
19575098520251,"total","2023-08-06","Washington Mystics",NA,83,82.23420858,"Los Angeles Sparks",NA,91,82.08666962,156.5,78.6,80.2,2.3,"Over",0,0,"Over",155.5,NA
19577034611331,"spread","2023-08-08","Chicago Sky",NA,79,83.30717432,"Minnesota Lynx",NA,88,82.84463048,-3.5,83,80,0.5,"Minnesota Lynx",0,0,"Dog",-3.5,NA
19577034611331,"total","2023-08-08","Chicago Sky",NA,79,83.30717432,"Minnesota Lynx",NA,88,82.84463048,164.5,83,80,1.5,"Under",0,0,"Under",164.5,NA
19577043816321,"spread","2023-08-08","Seattle Storm",NA,69,79.64555991,"Connecticut Sun",NA,81,80.09228289,7.5,78.2,80,5.7,"Seattle Storm",1,-1.1,"Dog",7.5,0
19577043816321,"total","2023-08-08","Seattle Storm",NA,69,79.64555991,"Connecticut Sun",NA,81,80.09228289,159.5,78.2,80,1.3,"Under",0,0,"Under",160.5,NA
19577047009241,"spread","2023-08-08","Dallas Wings",NA,84,92.19732577,"Las Vegas Aces",NA,104,94.72652704,8.5,85.9,88.2,6.2,"Dallas Wings",1,-1.1,"Dog",8.5,0
19577047009241,"total","2023-08-08","Dallas Wings",NA,84,92.19732577,"Las Vegas Aces",NA,104,94.72652704,176.5,85.9,88.2,2.4,"Under",0,0,"Under",177.5,NA
19577081609851,"spread","2023-08-08","Indiana Fever",NA,80,82.41208339,"Los Angeles Sparks",NA,87,92.19387555,-1.5,77.7,75.8,0.4,"Indiana Fever",0,0,"Fav",-1,NA
19577081609851,"total","2023-08-08","Indiana Fever",NA,80,82.41208339,"Los Angeles Sparks",NA,87,92.19387555,158.5,77.7,75.8,5,"Under",1,-1.1,"Under",157.5,1
19577143920251,"spread","2023-08-08","Phoenix Mercury",NA,91,74.9866963,"Washington Mystics",NA,72,81.17379349,-2.5,85.4,78.5,4.4,"Phoenix Mercury",1,1,"Fav",-2.5,0
19577143920251,"total","2023-08-08","Phoenix Mercury",NA,91,74.9866963,"Washington Mystics",NA,72,81.17379349,157.5,85.4,78.5,6.4,"Over",1,1,"Over",159.5,2
